model,project,fold,precision,recall,f1,p_at_50,n,n_flaky,flaky_rate,roc_auc,avg_precision
random_forest,spring-boot,3,0.967741935483871,0.9375,0.9523809523809523,0.64,425,32,0.07529411764705882,0.9991253180661578,0.9907255116959064
random_forest,spring-boot,4,1.0,0.8484848484848485,0.9180327868852459,0.64,425,33,0.07764705882352942,0.9977195423623996,0.9805798013611465
random_forest,wildfly,0,0.6666666666666666,0.4,0.5,0.1,248,5,0.020161290322580645,0.9917695473251029,0.75
random_forest,wildfly,1,1.0,0.75,0.8571428571428571,0.08,247,4,0.016194331983805668,0.9969135802469136,0.8928571428571428
random_forest,wildfly,2,1.0,0.25,0.4,0.06,247,4,0.016194331983805668,0.9295267489711934,0.7621951219512195
random_forest,wildfly,3,0.5714285714285714,0.8,0.6666666666666666,0.1,247,5,0.020242914979757085,0.9975206611570249,0.925
random_forest,wildfly,4,1.0,0.4,0.5714285714285714,0.1,247,5,0.020242914979757085,0.9884297520661156,0.6909090909090909
random_forest,wro4j,0,0.0,0.0,0.0,0.06,229,3,0.013100436681222707,0.9882005899705015,0.6111111111111112
random_forest,wro4j,1,1.0,0.6666666666666666,0.8,0.06,229,3,0.013100436681222707,0.9653392330383481,0.7037037037037037
random_forest,wro4j,2,0.0,0.0,0.0,0.06,229,3,0.013100436681222707,0.9859882005899705,0.3888888888888889
random_forest,wro4j,3,0.0,0.0,0.0,0.06,229,3,0.013100436681222707,0.9181415929203539,0.2199582027168234
random_forest,wro4j,4,0.0,0.0,0.0,0.06,229,4,0.017467248908296942,0.9222222222222223,0.30705128205128207
xgboost,activiti,0,0.25,0.16666666666666666,0.2,0.08,409,6,0.014669926650366748,0.8283705541770058,0.129673603185839
xgboost,activiti,1,0.25,0.16666666666666666,0.2,0.06,409,6,0.014669926650366748,0.7489660876757651,0.23902681432801914
xgboost,activiti,2,0.3333333333333333,0.14285714285714285,0.2,0.04,409,7,0.017114914425427872,0.7889125799573561,0.15450026164311878
xgboost,activiti,3,0.0,0.0,0.0,0.1,409,7,0.017114914425427872,0.8386638237384506,0.2782296763795421
