model,fold,precision,recall,f1,p_at_50,n,n_flaky,flaky_rate,roc_auc,avg_precision,protocol,variant,project
xgboost,,0.0,0.0,0.0,0.0,345,2,0.005797101449275362,0.34110787172011664,0.007260197334960838,cross_project,without_size,zxing
xgboost,0.0,0.1564625850340136,0.5644171779141104,0.24500665778961384,0.42,4448,163,0.03664568345323741,0.7589937791267871,0.22490514196352163,mixed_project,without_dynamic,
xgboost,1.0,0.1315028901734104,0.5617283950617284,0.21311475409836064,0.4,4447,162,0.036429053294355744,0.7309859256378122,0.21077170435362733,mixed_project,without_dynamic,
xgboost,2.0,0.13210702341137123,0.4876543209876543,0.20789473684210527,0.36,4447,162,0.036429053294355744,0.7329501418960773,0.1757685309388139,mixed_project,without_dynamic,
xgboost,3.0,0.14772727272727273,0.5617283950617284,0.23393316195372751,0.6,4447,162,0.036429053294355744,0.773998444185142,0.25275491887873536,mixed_project,without_dynamic,
xgboost,4.0,0.12481644640234948,0.5246913580246914,0.20166073546856464,0.38,4447,162,0.036429053294355744,0.7152793984182548,0.1817906399838075,mixed_project,without_dynamic,
xgboost,,0.00847457627118644,0.5,0.016666666666666666,0.0,1317,4,0.0030372057706909645,0.6037699923838538,0.007697453169779435,cross_project,without_dynamic,achilles
xgboost,,0.03110419906687403,0.625,0.05925925925925926,0.02,2044,32,0.015655577299412915,0.6721701043737575,0.030007467686121836,cross_project,without_dynamic,activiti
xgboost,,0.8636363636363636,0.16379310344827586,0.2753623188405797,0.66,187,116,0.6203208556149733,0.5070422535211268,0.6919691180527129,cross_project,without_dynamic,alluxio
xgboost,,0.29333333333333333,0.4230769230769231,0.3464566929133858,0.3,324,52,0.16049382716049382,0.5866445135746606,0.2744952408008463,cross_project,without_dynamic,ambari
xgboost,,0.0,0.0,0.0,0.0,6261,1,0.00015971889474524837,0.2022364217252396,0.00019857029388403494,cross_project,without_dynamic,assertj-core
xgboost,,0.0,0.0,0.0,0.02,55,1,0.01818181818181818,0.11111111111111116,0.02040816326530612,cross_project,without_dynamic,commons-exec
xgboost,,0.0,0.0,0.0,0.0,558,3,0.005376344086021506,0.16216216216216214,0.00474389515132166,cross_project,without_dynamic,elastic-job-lite
xgboost,,0.0,0.0,0.0,0.0,427,1,0.00234192037470726,0.08685446009389675,0.002564102564102564,cross_project,without_dynamic,handlebars.java
xgboost,,0.2661290322580645,0.22758620689655173,0.24535315985130113,0.08,431,145,0.33642691415313225,0.3804557511454063,0.28944491507234166,cross_project,without_dynamic,hbase
xgboost,,0.3870967741935484,0.36363636363636365,0.375,0.3,142,33,0.2323943661971831,0.6257992771754239,0.3187722261562516,cross_project,without_dynamic,hector
xgboost,,0.0,0.0,0.0,0.0,163,18,0.11042944785276074,0.47222222222222227,0.12325210029627573,cross_project,without_dynamic,http-request
xgboost,,0.06976744186046512,0.4090909090909091,0.11920529801324503,0.14,712,22,0.03089887640449438,0.6838603425559948,0.08746658464401975,cross_project,without_dynamic,httpcore
xgboost,,0.008547008547008548,0.21052631578947367,0.01642710472279261,0.02,2176,19,0.008731617647058824,0.4146963375057951,0.011028763416520163,cross_project,without_dynamic,incubator-dubbo
xgboost,,0.07407407407407407,0.08695652173913043,0.08,0.28,145,23,0.15862068965517243,0.7330719885958661,0.34505541346973573,cross_project,without_dynamic,java-websocket
xgboost,,0.0,0.0,0.0,0.0,212,0,0.0,,,cross_project,without_dynamic,jimfs
xgboost,,0.07317073170731707,0.4090909090909091,0.12413793103448276,0.06,843,22,0.02609727164887307,0.6013730483888827,0.048206461503654055,cross_project,without_dynamic,logback
xgboost,,0.01639344262295082,1.0,0.03225806451612903,0.02,307,1,0.003257328990228013,0.8529411764705882,0.021739130434782608,cross_project,without_dynamic,ninja
xgboost,,0.09174311926605505,0.1,0.09569377990430622,0.16,810,100,0.12345679012345678,0.3887183098591549,0.11120393693893069,cross_project,without_dynamic,okhttp
xgboost,,0.16666666666666666,0.5714285714285714,0.25806451612903225,0.1,86,7,0.08139534883720931,0.5931283905967452,0.18206591400831776,cross_project,without_dynamic,orbit
xgboost,,0.03982300884955752,0.05521472392638037,0.04627249357326478,0.08,2127,163,0.076633756464504,0.5898926067996952,0.19200986344988924,cross_project,without_dynamic,spring-boot
xgboost,,0.046511627906976744,0.2857142857142857,0.08,0.04,183,7,0.03825136612021858,0.42694805194805197,0.048800877538116086,cross_project,without_dynamic,undertow
xgboost,,0.015384615384615385,0.30434782608695654,0.029288702928870293,0.0,1236,23,0.0186084142394822,0.4399082404387254,0.02642970711360722,cross_project,without_dynamic,wildfly
xgboost,,0.0205761316872428,0.3125,0.03861003861003861,0.04,1145,16,0.013973799126637555,0.5921445969884853,0.02966083446649074,cross_project,without_dynamic,wro4j
xgboost,,0.00980392156862745,0.5,0.019230769230769232,0.0,345,2,0.005797101449275362,0.696793002915452,0.014495028780743067,cross_project,without_dynamic,zxing
